id,type,character,word,character_romanisation,word_romanisation,word_translation,character_class,obsolete,visual_group,sound_group
1,consonant,ก,ไก่,ko,kai,chicken,mid,FALSE,1,1
2,consonant,ข,ไข่,kho,khai,egg,high,FALSE,2,1
3,consonant,ฃ,ขวด,kho,khuat,bottle,high,TRUE,2,1
4,consonant,ค,ควาย,kho,khwai,water buffalo,low,FALSE,3,1
5,consonant,ฅ,คน,kho,khon,person,low,TRUE,3,1
6,consonant,ฆ,ระฆัง,kho,ra-khang,bell,low,FALSE,2,1
7,consonant,ง,งู,ngo,ngu,snake,low,FALSE,4,6
8,consonant,จ,จาน,cho,chan,plate,mid,FALSE,9,3
9,consonant,ฉ,ฉิ่ง,cho,ching,cymbals,high,FALSE,9,3
10,consonant,ช,ช้าง,cho,chang,elephant,low,FALSE,2,3
11,consonant,ซ,โซ่,so,so,chain,low,FALSE,2,4
12,consonant,ฌ,เฌอ,cho,choe,tree,low,FALSE,1,3
13,consonant,ญ,หญิง,yo,ying,woman,low,FALSE,1,5
14,consonant,ฎ,ชฎา,do,cha-da,headdress,mid,FALSE,1,2
15,consonant,ฏ,ปฏัก,to,pa-tak,javelin,mid,FALSE,1,2
16,consonant,ฐ,ฐาน,tho,than,pedestal,high,FALSE,4,2
17,consonant,ฑ,มณโฑ,tho,montho,Montho,low,FALSE,8,2
18,consonant,ฒ,ผู้เฒ่า,tho,phu-thao,elder,low,FALSE,3,2
19,consonant,ณ,เณร,no,nen,samanera,low,FALSE,1,6
20,consonant,ด,เด็ก,do,dek,child,mid,FALSE,3,2
21,consonant,ต,เต่า,to,tao,turtle,mid,FALSE,3,2
22,consonant,ถ,ถุง,tho,thung,sack,high,FALSE,1,2
23,consonant,ท,ทหาร,tho,thahan,soldier,low,FALSE,8,2
24,consonant,ธ,ธง,tho,thong,flag,low,FALSE,5,2
25,consonant,น,หนู,no,nu,mouse,low,FALSE,2,6
26,consonant,บ,ใบไม้,bo,baimai,leaf,mid,FALSE,2,7
27,consonant,ป,ปลา,po,pla,fish,mid,FALSE,2,7
28,consonant,ผ,ผึ้ง,pho,phueng,bee,high,FALSE,7,7
29,consonant,ฝ,ฝา,fo,fa,lid,high,FALSE,7,8
30,consonant,พ,พาน,pho,phan,Phan,low,FALSE,7,7
31,consonant,ฟ,ฟัน,fo,fan,teeth,low,FALSE,7,8
32,consonant,ภ,สำเภา,pho,sam-phao,sailboat,low,FALSE,1,7
33,consonant,ม,ม้า,mo,ma,horse,low,FALSE,2,9
34,consonant,ย,ยักษ์,yo,yak,giant,low,FALSE,2,5
35,consonant,ร,เรือ,ro,ruea,boat,low,FALSE,4,11
36,consonant,ล,ลิง,lo,ling,monkey,low,FALSE,9,11
37,consonant,ว,แหวน,wo,waen,ring,low,FALSE,4,12
38,consonant,ศ,ศาลา,so,sala,pavilion Sala,high,FALSE,3,4
39,consonant,ษ,ฤๅษี,so,rue-si,hermit,high,FALSE,2,4
40,consonant,ส,เสือ,so,suea,tiger,high,FALSE,9,4
41,consonant,ห,หีบ,ho,hip,box,high,FALSE,8,13
42,consonant,ฬ,จุฬา,lo,chu-la,kite,low,FALSE,7,11
43,consonant,อ,อ่าง,o,ang,basin,mid,FALSE,5,14
44,consonant,ฮ,นกฮูก,ho,nok-huk,owl,low,FALSE,5,13
45,vowel,◌ะ,,a,,,short,FALSE,10,15
46,vowel,◌า,,aa,,,long,FALSE,14,15
47,vowel,ิ,,i,,,short,FALSE,12,16
48,vowel,ี,,ii,,,long,FALSE,12,16
49,vowel,ึ,,ew,,,short,FALSE,12,17
50,vowel,ือ,,eww,,,long,FALSE,12,17
51,vowel,ุ,,u,,,short,FALSE,13,18
52,vowel,ู,,uu,,,long,FALSE,13,18
53,vowel,เ◌ะ,,e,,,short,FALSE,14,19
54,vowel,เ◌,,air,,,long,FALSE,14,19
55,vowel,แ◌ะ,,er,,,short,FALSE,14,19
56,vowel,แ◌,,err,,,long,FALSE,14,19
57,vowel,โ◌ะ,,o,,,short,FALSE,15,18
58,vowel,โ◌,,oo,,,long,FALSE,15,18
59,vowel,เ◌าะ,,or,,,short,FALSE,14,18
60,vowel,◌อ,,oor,,,long,FALSE,5,18
61,vowel,เ◌อะ,,er,,,short,FALSE,14,19
62,vowel,เ◌อ,,eer,,,long,FALSE,14,19
63,vowel,เียะ,,ear,,,short,FALSE,17,20
64,vowel,เีย,,ear,,,long,FALSE,17,20
65,vowel,เือะ,,erra,,,short,FALSE,17,20
66,vowel,เือ,,erra,,,long,FALSE,17,20
67,vowel,ัวะ,,ua,,,short,FALSE,18,21
68,vowel,ัว,,uua,,,long,FALSE,18,21
69,vowel,ำ,,um,,,short,FALSE,14,22
70,vowel,ใ◌,,ai,,,short,FALSE,15,23
71,vowel,ไ◌,,ai,,,short,FALSE,15,23
72,vowel,เ◌า,,ow,,,short,FALSE,14,24